Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
100,2103.8780764361695,1683.5381,496.16046,2078.2171588853266,0.0
101,4851.470790721856,1667.7413,496.02582,2747.5927142856867,0.0
102,7534.646404189894,1655.0055,500.70676,2683.1756134680377,0.0
103,9748.07549544072,1656.7402,529.9524,2213.429091250827,0.0
104,11575.934501883105,1656.9069,576.0902,1827.8590064423852,0.0
105,13239.430002939316,1658.6228,622.2736,1663.4955010562114,0.0
106,10875.862645357822,1663.4114,674.73706,1635.149100328585,3998.7164579100795
107,8407.825348773851,1665.0032,720.03973,1530.6791613261087,3998.7164579100795
108,5512.784777225488,1664.4393,750.5976,1103.6758863617163,3998.7164579100795
109,6315.029543431065,1656.3925,770.49084,802.2447662055762,0.0
110,7087.591807167137,1642.597,774.223,772.562263736072,0.0
111,7981.221489715861,1616.2443,762.09735,893.6296825487244,0.0
112,9843.981364239744,1579.3696,747.1328,1862.7598745238822,0.0
113,12875.898352952336,1545.7919,717.27277,3031.9169887125913,0.0
114,16086.786370174526,1517.237,678.2259,3210.8880172221916,0.0
115,14931.596037528048,1503.8976,649.47015,2843.5261252636014,3998.7164579100795
116,13341.838694061356,1502.5009,625.37024,2408.9591144433853,3998.7164579100795
117,11409.980213501742,1514.7224,597.36304,2066.8579773504653,3998.7164579100795
118,9176.66089863055,1535.7762,564.7518,1765.397143038887,3998.7164579100795
119,6730.570863075096,1564.526,536.2409,1552.626422354625,3998.7164579100795
120,4134.734661078048,1609.6277,514.07074,1402.8802559130304,3998.7164579100795
121,5299.397385575084,1622.3746,480.5744,1164.6627244970357,0.0
122,6139.158991413649,1623.8816,441.94373,839.7616058385657,0.0
123,6698.083206565874,1613.2389,412.72076,558.9242151522245,0.0
124,7148.1229271322745,1600.4523,398.9652,450.0397205664004,0.0
125,7638.245081177693,1591.6211,405.82965,490.1221540454179,0.0
126,8142.6881900885855,1587.5984,425.64938,504.44310891089293,0.0
127,8586.671445770166,1591.7788,455.95108,443.98325568158003,0.0
128,9117.335128130826,1590.738,494.61136,530.663682360661,0.0
129,9908.336203051704,1589.477,532.4086,791.0010749208777,0.0
130,10901.798660743556,1591.3027,571.93866,993.4624576918519,0.0
131,12111.716714504028,1592.215,605.1327,1209.9180537604723,0.0
132,13290.425266121154,1593.8998,626.69183,1178.7085516171257,0.0
133,10309.833986067246,1592.0676,646.7055,1018.1251778561701,3998.7164579100795
134,7373.808611978802,1584.8386,655.1006,1062.6910838216352,3998.7164579100795
135,4254.376353193124,1567.5433,657.2308,879.2841991244003,3998.7164579100795
136,5036.131836799046,1538.9641,658.8397,781.7554836059222,0.0
137,5738.497797122334,1514.3201,650.8426,702.3659603232886,0.0
138,6427.397643380947,1496.4695,643.94995,688.899846258612,0.0
139,7136.322070788251,1489.9475,636.9156,708.9244274073044,0.0
140,7912.070032283807,1489.6997,617.875,775.7479614955568,0.0
141,8654.290240665398,1501.2295,588.9716,742.2202083815896,0.0
142,9244.918247590364,1521.7472,554.70764,590.628006924966,0.0
143,9732.7744201501,1549.9392,524.5625,487.8561725597354,0.0
144,10246.488276223983,1594.456,500.9378,513.7138560738831,0.0
145,10838.827974296028,1606.4061,466.06564,592.339698072044,0.0
146,11588.921316866239,1607.1902,425.83347,750.0933425702109,0.0
147,12035.820153455274,1596.1213,394.29852,446.89883658903494,0.0
148,12243.456704950626,1583.3834,378.38913,207.63655149535148,0.0
149,12510.078705305252,1575.0653,383.44272,266.62200035462524,0.0
150,12823.657567150198,1572.0405,402.12598,313.5788618449464,0.0
151,13163.904887393388,1577.9113,432.56586,340.2473202431908,0.0
152,13473.688034591023,1578.7671,472.63495,309.783147197635,0.0
153,9932.077537790055,1579.6722,513.2168,457.10596110911064,3998.7164579100795
154,6633.1908488147,1584.1594,558.4298,699.8297689347236,3998.7164579100795
155,3590.7682511311427,1587.0359,595.67145,956.2938602265224,3998.7164579100795
156,4594.115744507238,1590.1154,620.37274,1003.347493376095,0.0
157,5507.1523775281175,1589.0132,641.6993,913.0366330208797,0.0
158,6422.065864685177,1582.4807,651.35065,914.9134871570591,0.0
159,7348.993750284813,1565.6226,653.8643,926.9278855996358,0.0
160,8094.472411904446,1537.5553,656.0083,745.4786616196324,0.0
161,9064.580631143293,1513.6064,648.9286,970.1082192388473,0.0
162,10356.368179528701,1496.4824,643.0187,1291.7875483854086,0.0
163,11303.85543295476,1490.4738,636.8464,947.487253426059,0.0
164,12090.157739065737,1490.8461,618.7472,786.3023061109767,0.0
165,12800.892100960935,1502.7014,590.2678,710.7343618951975,0.0
166,13438.581521458429,1523.4982,556.2817,637.689420497494,0.0
167,9972.685311192556,1552.2832,526.5509,532.8202476442058,3998.7164579100795
168,6535.007710023285,1597.4408,503.42612,561.0388567408079,3998.7164579100795
169,3159.6313480953127,1609.9097,468.38422,623.3400959821073,3998.7164579100795
170,3439.6056105771245,1611.0641,427.93433,279.97426248181165,0.0
171,3607.214695105455,1600.3033,396.22333,167.60908452833056,0.0
172,3980.761211498068,1588.0808,380.8531,373.54651639261266,0.0
173,4476.403585467015,1580.2681,386.62363,495.6423739689465,0.0
174,4835.265014980704,1577.7566,406.18204,358.86142951368964,0.0
175,5571.342681076868,1584.1147,437.57916,736.0776660961639,0.0
176,6466.632756563966,1585.5496,478.698,895.2900754870975,0.0
177,7460.98097285046,1587.263,520.69293,994.348216286494,0.0
178,8601.728056769009,1594.6173,570.3329,1140.7470839185494,0.0
179,9946.465796083063,1603.132,616.15326,1344.7377393140534,0.0
180,11412.412673041654,1614.4644,652.4366,1465.946876958592,0.0
181,12384.470774245268,1622.3336,685.10706,972.0581012036141,0.0
182,13546.152436182274,1622.9314,701.45886,1161.6816619370054,0.0
183,10820.009427111203,1610.4312,704.98505,1272.5734488390083,3998.7164579100795
184,8215.181907475675,1584.1355,704.46155,1393.8889382745501,3998.7164579100795
185,5331.375710855615,1560.2039,692.5033,1114.9102612900183,3998.7164579100795
186,6447.629910438054,1542.1145,681.6549,1116.2541995824395,0.0
187,7493.509941856682,1535.2784,672.2263,1045.8800314186285,0.0
188,8262.30708928139,1534.3851,651.9136,768.7971474247076,0.0
189,9228.330602719692,1546.1342,624.04114,966.0235134383017,0.0
190,10215.014165175271,1566.961,591.62445,986.6835624555792,0.0
191,11040.238345612926,1595.3221,563.44073,825.2241804376561,0.0
192,11674.245694932679,1640.542,542.976,634.0073493197525,0.0
193,12024.337263592368,1652.9401,511.21393,350.0915686596894,0.0
194,12253.248083992632,1654.1407,474.50922,228.91082040026458,0.0
195,12575.449819781097,1643.11,445.59552,322.2017357884646,0.0
196,12976.902999728774,1630.361,432.59467,401.4531799476768,0.0
197,13329.360415697567,1621.7017,441.5072,352.45741596879236,0.0
198,13662.606423711688,1618.4493,465.32718,333.24600801412015,0.0
199,10229.436493309195,1624.2023,502.3765,565.5465275075851,3998.7164579100795
200,7316.813042343201,1625.0741,551.08453,1086.0930069440865,3998.7164579100795
201,4335.631163410162,1626.848,601.9995,1017.53457897704,3998.7164579100795
202,5108.028249611236,1631.719,655.9301,772.3970862010742,0.0
203,5750.766563330022,1634.7264,699.4813,642.7383137187862,0.0
204,6311.218009906003,1637.7922,726.6764,560.4514465759811,0.0
205,6851.3539010759605,1636.1627,745.85706,540.1358911699568,0.0
206,7435.469147894205,1628.481,748.34186,584.1152468182445,0.0
207,7886.313176215841,1610.1799,740.1811,450.84402832163613,0.0
208,8396.31833400201,1581.2103,730.1815,510.0051577861689,0.0
209,8945.511725835922,1556.6019,710.8913,549.1933918339121,0.0
210,9586.424122877816,1540.0946,695.3258,640.9123970418939,0.0
211,10443.445562896075,1535.2797,682.6049,857.0214400182588,0.0
212,11157.834797760826,1537.3845,662.0117,714.3892348647513,0.0
213,11937.688893028751,1551.1045,633.7695,779.8540952679244,0.0
214,12670.868206813982,1573.596,602.2957,733.1793137852304,0.0
215,13238.198676151567,1603.0865,574.58435,567.3304693375848,0.0
216,13672.634132578636,1649.1482,554.68604,434.4354564270697,0.0
217,10033.5608458048,1662.5714,523.3996,359.6431711362423,3998.7164579100795
218,6343.825082982496,1665.1156,486.8562,308.980695087775,3998.7164579100795
219,6633.463109429101,1655.4109,459.3727,289.638026446605,0.0
220,6921.228874800587,1643.3937,447.88663,287.76576537148566,0.0
221,7180.796880357834,1634.6029,457.816,259.5680055572475,0.0
222,7464.391030728989,1630.1925,481.37256,283.5941503711548,0.0
223,7982.782927510347,1633.3809,515.03174,518.3918967813579,0.0
224,9193.407635557285,1630.556,555.44006,1210.624708046939,0.0
225,10875.659519976689,1627.1033,593.2132,1682.2518844194033,0.0
226,12680.317557054039,1626.2622,630.7557,1804.6580370773506,0.0
227,14462.596491383894,1623.3383,657.00543,1782.278934329856,0.0
228,12247.132265009841,1621.2781,670.40784,1783.2522315360254,3998.7164579100795
229,9758.891363461149,1616.5459,683.67816,1510.4755563613871,3998.7164579100795
230,6889.008636993951,1607.806,689.5117,1128.8337314428813,3998.7164579100795
231,3808.4586450303627,1589.8083,690.9555,918.1664659464916,3998.7164579100795
232,4503.93730277819,1560.6311,692.4154,695.4786577478278,0.0
233,5151.904536883373,1535.0552,683.6565,647.9672341051828,0.0
234,5865.689859869694,1516.524,675.7013,713.7853229863211,0.0
235,6621.624992444489,1508.8964,667.0982,755.935132574795,0.0
