Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
8000,5.3716639254362235,609.9576,740.2443,1499.180868963101,1499.180868963101
8000,5.3716639254362235,609.9576,740.2443,1499.180868963101,1499.180868963101
8001,5.3716639254362235,612.5945,833.93304,1781.977924437737,1781.977924437737
8002,5.3716639254362235,607.11035,923.99084,1425.5564527734045,1425.5564527734045
8003,5.3716639254362235,596.83246,997.2575,1588.8328833355981,1588.8328833355981
8004,5.3716639254362235,592.9937,1055.357,1566.0054835190576,1566.0054835190576
8005,5.3716639254362235,596.519,1099.4955,1470.9313243207835,1470.9313243207835
8006,5.3716639254362235,590.6544,1127.5626,1530.3711208475681,1530.3711208475681
8007,5.3716639254362235,583.92975,1143.0009,1847.3080385103635,1847.3080385103635
8008,5.3716639254362235,574.424,1148.3481,1547.9728940569448,1547.9728940569448
8009,5.3716639254362235,563.8733,1145.7646,1746.5965696188894,1746.5965696188894
8010,5.3716639254362235,555.61633,1136.5118,1807.9219318271869,1807.9219318271869
8011,5.3716639254362235,551.238,1114.9734,1877.0636385917855,1877.0636385917855
8012,5.3716639254362235,545.9466,1080.667,1745.810988461239,1745.810988461239
8013,5.3716639254362235,540.1028,1039.6145,1559.612209886963,1559.612209886963
8014,5.3716639254362235,543.23785,986.3088,1114.0521571394004,1114.0521571394004
8015,5.3716639254362235,558.7778,936.4475,1134.3186301560747,1134.3186301560747
