Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
8000,2.758605616179807,328.78986,98.41993,297.92479672027315,592.3981343702641
8000,2.758605616179807,328.78986,98.41993,297.92479672027315,592.3981343702641
8001,2.758605616179768,321.42398,133.06564,379.6935565521022,379.6935565521023
8002,2.758605616179768,319.65668,155.57112,364.7048940892652,364.7048940892652
8003,2.758605616179768,320.84445,172.50984,397.04922222328315,397.04922222328315
8004,2.758605616179768,321.55496,186.67209,394.41849749594553,394.41849749594553
8005,2.758605616179768,323.61365,192.3898,318.5109162318571,318.5109162318571
8006,2.758605616179768,330.24774,189.64978,334.7416651205798,334.7416651205798
8007,2.758605616179768,336.99176,183.87071,299.01695238231105,299.01695238231105
8008,2.758605616179768,341.09116,183.73698,408.43265532558274,408.43265532558274
8009,2.758605616179768,342.115,190.42796,381.5616239635534,381.5616239635534
8010,2.758605616179768,337.1647,198.91013,334.2129728739717,334.2129728739717
8011,2.758605616179768,331.61008,206.46371,334.6477599329256,334.6477599329256
8012,2.758605616179768,327.01,214.6469,356.33642430397407,356.33642430397407
8013,2.758605616179768,316.9424,216.94055,332.54244138096715,332.54244138096715
8014,2.758605616179768,308.00327,204.28322,308.46071883052144,308.46071883052144
8015,2.758605616179768,310.04004,184.442,298.73886962729125,298.73886962729125
