Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
8000,0.0,328.56638,88.963615,297.92479672027315,297.92479672027315
8001,0.0,329.4489,118.911194,379.6935565521022,379.6935565521022
8002,0.0,332.7845,146.67087,364.7048940892652,364.7048940892652
8003,0.0,333.9679,170.92223,397.04922222328315,397.04922222328315
8004,0.0,339.92532,182.1606,394.41849749594553,394.41849749594553
8005,0.0,337.2341,184.9952,318.5109162318571,318.5109162318571
8006,0.0,332.90106,180.53824,334.7416651205798,334.7416651205798
8007,0.0,329.1043,175.59972,299.01695238231105,299.01695238231105
8008,0.0,322.5735,163.7331,408.43265532558274,408.43265532558274
8009,0.0,317.9977,164.16658,381.5616239635534,381.5616239635534
8010,0.0,317.8169,165.56238,334.2129728739717,334.2129728739717
8011,0.0,323.98724,161.50868,334.6477599329256,334.6477599329256
8012,0.0,336.33667,173.52585,356.33642430397407,356.33642430397407
8013,0.0,343.39883,168.73569,332.54244138096715,332.54244138096715
8014,0.0,350.5241,163.2988,308.46071883052144,308.46071883052144
8015,0.0,347.59888,157.16008,298.73886962729125,298.73886962729125
8016,0.0,347.0141,131.81677,285.06328580490367,285.06328580490367
8017,0.0,338.06573,127.03257,226.8454953114476,226.8454953114476
8018,0.0,340.3206,113.156006,182.1099741661869,182.1099741661869
8019,0.0,343.3852,102.28766,125.92226092035965,125.92226092035965
8020,0.0,344.25842,103.97112,118.31986694828812,118.31986694828812
8021,0.0,346.67715,102.58362,186.36068112662534,186.36068112662534
8022,0.0,351.07422,113.23658,234.17045110904786,234.17045110904786
8023,0.0,346.56454,122.88687,94.86937083565084,94.86937083565084
8024,0.0,342.87375,129.2097,166.7449220145905,166.7449220145905
8025,0.0,343.78873,142.12323,243.85544345040424,243.85544345040424
8026,0.0,344.5279,152.27101,339.9258915883932,339.9258915883932
8027,0.0,344.0509,164.18137,443.25893272778916,443.25893272778916
8028,0.0,346.57227,173.64175,479.0067918185958,479.0067918185958
8029,0.0,340.12607,174.03627,486.88363622724404,486.88363622724404
8030,0.0,334.50882,172.15817,427.3998771853547,427.3998771853547
8031,0.0,328.3125,171.56017,355.1673652632382,355.1673652632382
8032,0.0,321.90826,168.42236,397.57000318681764,397.57000318681764
8033,0.0,316.49695,180.8348,392.5080942323721,392.5080942323721
8034,0.0,316.42545,199.76796,438.3775066356876,438.3775066356876
8035,0.0,324.36496,208.84254,528.0949301086721,528.0949301086721
8036,0.0,337.13287,230.21906,513.505558007576,513.505558007576
8037,0.0,344.73282,232.95596,458.1673805889872,458.1673805889872
8038,0.0,352.0136,225.19109,401.3380072764149,401.3380072764149
8039,0.0,349.17157,215.93549,312.61883484973987,312.61883484973987
8040,0.0,348.1093,185.6526,273.601834409753,273.601834409753
8041,0.0,339.2935,167.80405,247.71313707530317,247.71313707530317
8042,0.0,340.78397,145.56474,255.71672798968098,255.71672798968098
8043,0.0,343.75784,122.001564,225.45776473628865,225.45776473628865
8044,0.0,343.48343,102.247025,187.46741990703518,187.46741990703518
8045,0.0,344.15134,84.69036,197.39249350843883,197.39249350843883
8046,0.0,347.03128,76.32186,698.9497554124453,698.9497554124453
8047,318.90778421611276,339.83456,75.104904,1671.3612678570335,1352.4534836409207
8048,701.168612481054,333.9571,79.743065,1744.752589286769,1362.491761021828
8049,0.0,333.02664,93.95992,1683.8755688429776,2385.0441813240313
8050,163.87281584823882,333.78253,117.04523,2085.598235508045,1921.7254196598062
8051,1003.4515121310385,333.93457,145.81487,2349.3227500002754,1509.7440537174755
8052,1556.3825136294738,336.95963,169.04413,2356.1158500013503,1803.1848485029147
8053,2290.1138043700917,332.58902,185.65515,2340.600216667216,1606.868925926598
8054,2356.5932406331945,328.26416,193.22043,2309.605666665497,2243.1262304023944
8055,2436.780224671367,323.52097,196.23618,2216.4810999997526,2136.2941159615807
8056,2772.3101946984725,317.00125,190.96242,1970.4072416671409,1634.8772716400354
8057,2574.5885936179616,312.20517,194.17479,1777.2748750003418,1974.996476080853
8058,2933.1731722495115,311.7846,195.7393,1764.4999999999432,1405.9154213683933
8059,2876.848249501253,317.78503,192.43369,1607.3270662984369,1663.651989046695
8060,2417.913791780413,329.97363,201.23929,1031.4638692454728,1490.3983269663129
8061,1606.8790053354905,336.108,196.17924,668.4753296504011,1479.5101160953236
8062,592.496428936518,343.03622,187.4174,600.3999999998823,1614.7825763988549
8063,0.0,340.25912,173.36942,600.3999999998823,1192.8964289364003
8064,0.0,339.2201,146.07028,600.3999999998823,600.3999999998823
8065,0.0,331.04083,130.74393,600.3999999998823,600.3999999998823
8066,0.0,332.68765,107.82871,600.3999999998823,600.3999999998823
8067,0.0,334.97928,86.253975,600.3999999998823,600.3999999998823
8068,0.0,333.4389,65.0814,600.3999999998823,600.3999999998823
8069,0.0,333.66028,50.34877,600.3999999998823,600.3999999998823
8070,0.0,337.1772,53.1725,706.8972100537271,706.8972100537271
8071,0.0,330.32596,59.55948,764.7224657796512,764.7224657796512
8072,0.0,325.38937,78.07882,636.4712695718434,636.4712695718434
8073,0.0,325.48682,102.55318,586.893541275767,586.893541275767
8074,0.0,326.95618,129.5128,523.2453610499635,523.2453610499635
8075,0.0,327.2063,157.89471,495.5528095129386,495.5528095129386
8076,0.0,331.01434,179.74196,451.6526779939691,451.6526779939691
8077,0.0,326.34488,191.1091,448.3266255133705,448.3266255133705
8078,0.0,321.51587,191.72604,492.6032513834418,492.6032513834418
8079,0.0,316.38492,186.95187,507.1532331140099,507.1532331140099
8080,0.0,309.23962,173.48233,445.86172760931015,445.86172760931015
8081,0.0,303.61597,172.0094,395.07496660384527,395.07496660384527
8082,0.0,302.8604,170.8591,376.2102621395026,376.2102621395026
8083,0.0,309.51624,167.79097,415.06664555593966,415.06664555593966
8084,0.0,322.3197,178.92883,439.81291666772165,439.81291666772165
8085,0.0,329.52142,175.55437,443.06463709421723,443.06463709421723
8086,0.0,337.28775,169.11832,400.5378827770971,400.5378827770971
8087,0.0,335.00497,157.30182,414.1311131099392,414.1311131099392
8088,0.0,334.54593,131.15263,395.574493870821,395.574493870821
8089,0.0,326.28156,117.131935,270.6750901268722,270.6750901268722
8090,0.0,328.1472,94.257774,262.15483441711547,262.15483441711547
8091,0.0,330.87335,71.80507,252.07649377438202,252.07649377438202
8092,0.0,330.7037,52.04661,145.96476643986404,145.96476643986404
8093,0.0,331.61914,38.600662,119.29059127823608,119.29059127823608
8094,0.0,335.96646,40.67174,149.20088298792015,149.20088298792015
8095,0.0,329.83746,46.94828,257.0056435068437,257.0056435068437
8096,0.0,325.85577,64.09836,378.21538544372703,378.21538544372703
8097,0.0,326.6375,87.519806,381.0909957603483,381.0909957603483
8098,0.0,328.54327,113.862854,353.32609949054824,353.32609949054824
8099,0.0,328.9574,140.95395,375.0515088950446,375.0515088950446
8100,0.0,333.22977,161.67953,368.0450276424383,368.0450276424383
8101,0.0,329.1074,172.00961,375.1673571448227,375.1673571448227
8102,0.0,324.27917,172.60654,329.5598348429235,329.5598348429235
8103,0.0,318.82565,169.79886,285.65360549164524,285.65360549164524
8104,0.0,312.17804,157.91699,330.88735664682133,330.88735664682133
8105,0.0,306.76874,158.4945,327.0293634971102,327.0293634971102
8106,0.0,306.58374,160.88965,324.39824047674784,324.39824047674784
8107,0.0,312.9779,160.3254,371.44732058690767,371.44732058690767
8108,0.0,325.71228,175.88107,428.72038809634506,428.72038809634506
8109,0.0,333.13696,177.58856,402.6811866302732,402.6811866302732
8110,0.0,341.4035,176.14265,333.26916727125206,333.26916727125206
8111,0.0,339.95053,168.77115,352.1913626070089,352.1913626070089
8112,0.0,339.8669,143.4074,260.5145518800235,260.5145518800235
8113,0.0,331.9181,128.9472,211.43472774545086,211.43472774545086
8114,0.0,333.72812,105.15588,156.88297937802426,156.88297937802426
8115,0.0,336.24277,81.29033,148.21411298986513,148.21411298986513
8116,0.0,335.67346,60.87661,162.69493650930858,162.69493650930858
8117,0.0,335.86322,48.49102,142.48036508091283,142.48036508091283
8118,0.0,339.5067,51.3916,93.50609107106392,93.50609107106392
8119,0.0,332.97018,60.884586,189.7124649470335,189.7124649470335
8120,0.0,328.96136,78.87723,335.2115187903592,335.2115187903592
8121,0.0,329.93372,101.889565,395.41870821295953,395.41870821295953
8122,0.0,332.12506,126.943405,338.8543563224664,338.8543563224664
8123,0.0,332.93518,152.3701,339.41893218456045,339.41893218456045
8124,0.0,337.58194,171.43939,343.02294384294566,343.02294384294566
8125,0.0,333.47562,180.9557,378.4074343192758,378.4074343192758
8126,0.0,328.60364,183.57,389.0020041421415,389.0020041421415
8127,0.0,323.08444,184.0708,318.68451419576735,318.68451419576735
8128,0.0,316.11856,181.47789,299.43175286727273,299.43175286727273
8129,0.0,311.29034,192.99146,370.31395465466494,370.31395465466494
8130,0.0,311.4966,204.25632,398.70654289758977,398.70654289758977
8131,0.0,319.17477,204.1902,396.30472644747255,396.30472644747255
8132,0.0,333.57654,212.26537,430.00291009747167,430.00291009747167
8133,0.0,342.15146,201.16861,343.617970936384,343.617970936384
8134,0.0,351.6125,186.57309,335.70556689656604,335.70556689656604
8135,0.0,350.0431,168.59077,308.3624171875836,308.3624171875836
8136,0.0,349.2576,136.59764,298.0571156525369,298.0571156525369
8137,0.0,340.67917,119.8106,222.81596467544284,222.81596467544284
