Time,Level,Predicted Wet Inflow,Predicted Dry Inflow,Actual Inflow,Actual Outflow
8000,2.758605616179807,328.78986,98.41993,297.92479672027315,592.3981343702641
8001,2.758605616179768,321.42398,133.06564,379.6935565521022,379.6935565521023
8002,2.758605616179768,319.65668,155.57112,364.7048940892652,364.7048940892652
8003,2.758605616179768,320.84445,172.50984,397.04922222328315,397.04922222328315
8004,2.758605616179768,321.55496,186.67209,394.41849749594553,394.41849749594553
8005,2.758605616179768,323.61365,192.3898,318.5109162318571,318.5109162318571
8006,2.758605616179768,330.24774,189.64978,334.7416651205798,334.7416651205798
8007,2.758605616179768,336.99176,183.87071,299.01695238231105,299.01695238231105
8008,2.758605616179768,341.09116,183.73698,408.43265532558274,408.43265532558274
8009,2.758605616179768,342.115,190.42796,381.5616239635534,381.5616239635534
8010,2.758605616179768,337.1647,198.91013,334.2129728739717,334.2129728739717
8011,2.758605616179768,331.61008,206.46371,334.6477599329256,334.6477599329256
8012,2.758605616179768,327.01,214.6469,356.33642430397407,356.33642430397407
8013,2.758605616179768,316.9424,216.94055,332.54244138096715,332.54244138096715
8014,2.758605616179768,308.00327,204.28322,308.46071883052144,308.46071883052144
8015,2.758605616179768,310.04004,184.442,298.73886962729125,298.73886962729125
8016,2.758605616179768,318.50104,166.72809,285.06328580490367,285.06328580490367
8017,2.7586056161797785,327.616,149.96251,226.8454953114476,226.8454953114476
8018,2.7586056161797785,335.67923,126.870804,182.1099741661869,182.1099741661869
8019,2.758605616179768,347.74466,104.28837,125.92226092035965,125.92226092035968
8020,2.758605616179768,348.27692,89.57375,118.31986694828812,118.31986694828812
8021,2.7586056161797785,343.31326,85.7829,186.36068112662534,186.36068112662534
8022,2.7586056161797785,341.11673,92.88364,234.17045110904786,234.17045110904786
8023,2.758605616179768,341.46368,115.78438,94.86937083565084,94.86937083565086
8024,2.7586056161797785,333.5927,149.1316,166.7449220145905,166.7449220145905
8025,2.7586056161797785,323.35132,178.20088,243.85544345040424,243.85544345040424
8026,2.758605616179768,320.71457,194.07957,339.9258915883932,339.9258915883932
8027,2.758605616179768,320.5428,203.42369,443.25893272778916,443.25893272778916
8028,2.758605616179768,322.2785,210.20029,479.0067918185958,479.0067918185958
8029,2.758605616179768,324.57086,210.53975,486.88363622724404,486.88363622724404
8030,2.758605616179768,331.14,199.5372,427.3998771853547,427.3998771853547
8031,2.758605616179768,338.17325,186.5422,355.1673652632382,355.1673652632382
8032,2.758605616179768,341.88107,177.38866,397.57000318681764,397.57000318681764
8033,2.758605616179768,342.5006,175.01889,392.5080942323721,392.5080942323721
8034,2.758605616179768,338.7778,178.98392,438.3775066356876,438.3775066356876
8035,2.758605616179807,334.3587,182.8839,528.0949301086721,528.0949301086721
8036,2.758605616179807,329.72418,193.60689,513.505558007576,513.505558007576
8037,2.758605616179768,318.92413,202.77191,458.1673805889872,458.16738058898727
8038,2.758605616179768,311.61255,200.03735,401.3380072764149,401.3380072764149
8039,2.758605616179768,313.21518,188.82533,312.61883484973987,312.61883484973987
8040,2.758605616179768,319.22913,178.12044,273.601834409753,273.601834409753
8041,2.7586056161797785,327.13565,163.2175,247.71313707530317,247.71313707530317
8042,2.7586056161797785,334.84677,139.89856,255.71672798968098,255.716727989681
8043,2.7586056161797785,345.89536,116.29318,225.45776473628865,225.45776473628865
8044,2.7586056161797785,346.18356,95.00356,187.46741990703518,187.46741990703518
8045,2.7586056161797785,341.111,82.883766,197.39249350843883,197.39249350843883
8046,2.758605616179807,337.2153,78.547966,698.9497554124453,698.9497554124453
8047,112.47503036387707,336.47882,88.99413,1671.3612678570335,1561.6448431093363
8048,365.1878678647804,328.9751,109.98207,1744.752589286769,1492.0397517858657
8049,49.223702616541914,318.32816,132.19864,1683.8755688429776,1999.8397340912163
8050,84.79613874890083,313.88083,147.95303,2085.598235508045,2050.0257993756863
8051,481.43955366705245,312.17865,165.33096,2349.3227500002754,1952.6793350821238
8052,925.1555974978976,312.82693,182.18286,2356.1158500013503,1912.399806170505
8053,1611.0381913091253,313.5155,193.20541,2340.600216667216,1654.717622855988
8054,2440.0474975933676,319.55026,194.03856,2309.605666665497,1480.5963603812552
8055,3259.6009495425246,325.74777,190.4836,2216.4810999997526,1396.9276480505955
8056,3338.6046320038604,330.04526,190.06444,1970.4072416671409,1891.403559205805
8057,3178.943955170177,331.8158,192.3467,1777.2748750003418,1936.9355518340255
8058,3231.1982818142974,327.81412,195.90584,1764.4999999999432,1712.2456733558224
8059,3398.964399188617,324.39725,199.03397,1607.3270662984369,1439.560948924118
8060,2518.046652152924,319.3992,204.329,1031.4638692454728,1912.3816162811659
8061,1074.3681534323268,309.3789,205.19771,668.4753296504011,2112.153828370998
8062,2.758605616179768,299.4841,191.1049,600.3999999998823,1672.0095478160295
8063,2.758605616179807,299.6885,169.62808,600.3999999998823,600.3999999998823
8064,2.758605616179807,305.7085,152.65773,600.3999999998823,600.3999999998823
8065,2.758605616179807,312.66843,133.36101,600.3999999998823,600.3999999998823
8066,2.758605616179807,319.4478,106.468704,600.3999999998823,600.3999999998823
8067,2.758605616179807,330.03943,77.69265,600.3999999998823,600.3999999998823
8068,2.758605616179807,330.5653,50.87821,600.3999999998823,600.3999999998823
8069,2.758605616179807,325.88486,36.629723,600.3999999998823,600.3999999998823
8070,2.758605616179807,323.62527,35.382046,706.8972100537271,706.8972100537271
8071,2.758605616179807,324.48843,51.37661,764.7224657796512,764.7224657796512
8072,2.758605616179807,318.7341,83.44153,636.4712695718434,636.4712695718434
8073,2.758605616179807,308.57565,114.15096,586.893541275767,586.893541275767
8074,2.758605616179807,303.5716,135.40424,523.2453610499635,523.2453610499635
8075,2.758605616179768,302.49066,155.28488,495.5528095129386,495.55280951293867
8076,2.758605616179768,304.11282,174.04718,451.6526779939691,451.6526779939691
8077,2.758605616179768,305.9545,185.51949,448.3266255133705,448.3266255133705
8078,2.758605616179768,311.68393,184.81578,492.6032513834418,492.6032513834418
8079,2.758605616179768,318.59396,178.22774,507.1532331140099,507.1532331140099
8080,2.758605616179768,323.59586,172.55673,445.86172760931015,445.86172760931015
8081,2.758605616179768,326.0586,169.14677,395.07496660384527,395.07496660384527
8082,2.758605616179768,322.0638,167.50113,376.2102621395026,376.2102621395026
8083,2.758605616179768,317.87445,168.25948,415.06664555593966,415.06664555593966
8084,2.758605616179768,312.7667,173.21191,439.81291666772165,439.81291666772165
8085,2.758605616179768,302.72427,175.54765,443.06463709421723,443.06463709421723
8086,2.758605616179768,293.1017,165.03983,400.5378827770971,400.5378827770971
8087,2.758605616179768,293.1103,147.50687,414.1311131099392,414.1311131099392
8088,2.758605616179768,299.58865,134.19664,395.574493870821,395.574493870821
8089,2.758605616179768,307.95172,118.38941,270.6750901268722,270.6750901268722
8090,2.758605616179768,316.22043,93.98975,262.15483441711547,262.15483441711547
8091,2.7586056161797785,327.72272,67.89289,252.07649377438202,252.07649377438202
8092,2.7586056161797785,329.83173,44.812305,145.96476643986404,145.96476643986404
8093,2.758605616179768,326.87927,32.73468,119.29059127823608,119.29059127823609
8094,2.7586056161797785,325.79956,31.754124,149.20088298792015,149.20088298792015
8095,2.758605616179768,327.18628,47.631546,257.0056435068437,257.0056435068437
8096,2.758605616179768,321.3313,78.84378,378.21538544372703,378.21538544372703
8097,2.758605616179768,311.681,110.33231,381.0909957603483,381.0909957603483
8098,2.758605616179768,306.5695,133.28262,353.32609949054824,353.32609949054824
8099,2.758605616179768,305.0777,154.75162,375.0515088950446,375.0515088950446
8100,2.758605616179768,305.93765,175.11905,368.0450276424383,368.0450276424383
8101,2.758605616179768,307.47662,187.39542,375.1673571448227,375.1673571448227
8102,2.758605616179768,313.64926,187.52429,329.5598348429235,329.5598348429235
8103,2.758605616179768,320.7092,182.24457,285.65360549164524,285.65360549164524
8104,2.758605616179768,326.3127,178.18123,330.88735664682133,330.88735664682133
