Time,Total Inflow,Total Outflow
8000,0,4013.0714975412857
8001,0,7484.610430727265
8002,0,10467.158530024575
8003,0,13680.629374431624
8004,0,16819.639984319147
8005,0,20197.59283908746
8006,0,23720.939048839584
8007,0,26893.45170931012
8008,0,29539.69653348851
8009,0,32196.36188437709
8010,0,35029.23403078869
8011,0,38126.175356659
8012,0,41103.01332695524
8013,0,43778.269311298645
8014,0,46003.21667801998
8015,0,48089.8680242538
8016,0,50319.29890241561
8017,0,52456.619483686736
8018,0,54196.635442819424
8019,0,55824.245747416295
8020,0,57184.49524344348
8021,0,58411.8407962838
8022,0,59773.80342838321
8023,0,60944.80277309575
8024,0,62734.969819827595
8025,0,64940.36110106235
8026,0,67797.00850766731
8027,0,71322.19165490888
8028,0,74972.41084538568
8029,0,78070.12189695128
8030,0,81229.55809947672
8031,0,84550.33116706932
8032,0,88024.96856713001
8033,0,91604.29703985358
8034,0,95425.4701756112
8035,0,99341.25834496552
8036,0,103290.69405373112
8037,0,106846.5894166272
8038,0,109822.14355569598
8039,0,112370.01985624657
8040,0,114639.3635194852
8041,0,116858.21864166371
8042,0,118483.86072790585
8043,0,119838.81836651442
8044,0,121603.76062481754
8045,0,123788.00117506427
8046,0,128445.74985822945
8047,0,136166.01730641187
8048,0,144282.94854517616
8049,0,153813.45940606584
8050,0,163247.54215041164
8051,0,173843.37535700158
8052,0,183040.76072962934
8053,0,192144.4499951655
8054,0,201139.40245522457
8055,0,211114.04425975183
8056,0,220385.3388484859
8057,0,230197.4184330799
8058,0,238296.7600100969
8059,0,246744.4929906408
8060,0,255133.62494208265
8061,0,262289.8780994457
8062,0,269156.40861020563
8063,0,274352.610129427
8064,0,279099.4149414436
8065,0,284028.80312349147
8066,0,288987.0083810697
8067,0,293847.63982977596
8068,0,298581.28384763753
8069,0,303056.10182502307
8070,0,307414.55851921724
8071,0,312021.66808773496
8072,0,316018.17112506484
8073,0,319625.11818092025
8074,0,323041.3774061989
8075,0,326195.97128500295
8076,0,328992.5191295982
8077,0,332192.2394171806
8078,0,335948.3259453303
8079,0,339772.0950295022
8080,0,343368.89731588116
8081,0,346390.4594724353
8082,0,349387.57664254576
8083,0,353024.6221625684
8084,0,356820.3794170658
8085,0,360851.37475094286
8086,0,364784.7281641094
8087,0,368629.97949985974
8088,0,371717.3379875057
8089,0,374526.4806677554
8090,0,377033.85870825424
8091,0,379155.826672413
8092,0,380608.13078335393
8093,0,382234.43225111894
8094,0,384425.9256023793
8095,0,387072.3989191627
8096,0,390025.90761725034
8097,0,393264.99649046065
8098,0,396407.88328704174
8099,0,399634.37342906813
8100,0,402635.6963159265
8101,0,405101.1247954642
8102,0,407485.5450223868
8103,0,410289.9811465847
8104,0,413514.34720570146
8105,0,416419.4183485761
8106,0,419598.21796291135
8107,0,422915.7736133461
8108,0,426636.4539327171
8109,0,430010.7854439751
8110,0,433025.24941842526
8111,0,435644.8167928975
8112,0,437900.0334981886
8113,0,440180.4688918044
8114,0,441789.8779434586
8115,0,443355.3671461929
8116,0,444914.16619062447
8117,0,445936.3645055939
8118,0,446893.49948073714
8119,0,449068.0970234667
8120,0,452033.90473563597
8121,0,454412.63776193035
8122,0,456869.3369883158
8123,0,459617.04099634907
8124,0,462360.5699088664
8125,0,465091.0688542866
8126,0,468180.3976528782
8127,0,471233.6250321704
8128,0,473860.22086188814
8129,0,476739.69764940464
8130,0,479784.56251490285
8131,0,482655.66952320695
8132,0,485587.2891988697
8133,0,488662.911747533
8134,0,491366.154453105
8135,0,494189.9201472482
8136,0,496742.45588376804
8137,0,498623.7910816
8138,0,500341.54153119854
8139,0,501867.50882617425
8140,0,503061.11600518954
8141,0,504242.4607948497
8142,0,505765.7216757988
8143,0,507766.09539841773
8144,0,510592.42364558845
8145,0,513783.31242682517
8146,0,516681.9951101621
8147,0,519416.1173847701
8148,0,521962.0710611005
8149,0,524730.1979361513
8150,0,527403.3968930574
8151,0,529340.2387214099
8152,0,531318.2891126891
8153,0,533559.2984118221
8154,0,536253.7148937655
8155,0,538878.8826174545
8156,0,541799.4937315831
8157,0,544628.5955662612
8158,0,547601.9369827609
8159,0,550769.5994119464
8160,0,553803.6205221795
8161,0,556108.5393744245
8162,0,557936.9529735772
8163,0,559762.6509693364
8164,0,564746.3333218911
8165,0,572933.0850435467
8166,0,580935.725234009
8167,0,588989.2571292539
