Time,Level,Predicted Level,Actual Inflow,Actual Outflow
100,10000.0,10000,28523.917600000543,28523.91760000054
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
101,10000.0,10000,32041.740350319174,32041.740350319174
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
102,10000.0,10000,45761.9097828811,45761.9097828811
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
103,10000.0,10000,47275.13838680811,47275.13838680811
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
104,10000.0,10000,36064.75096105048,36064.75096105048
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
105,10000.0,10000,41130.92351604125,41130.92351604125
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
106,12357.225433321539,10000,47422.490769746524,45065.265336424985
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
107,10000.0,10000,44739.12550534248,47096.35093866402
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
108,10000.0,10000,40476.8458981668,40476.8458981668
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
109,10000.0,10000,28131.771418471875,28131.77141847188
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
110,10000.0,10000,33447.079928757914,33447.079928757914
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
111,10000.0,10000,36057.60051476168,36057.60051476168
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
112,44255.9436826023,10000,71803.55495284755,37547.61127024525
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
113,128634.94235511949,10000,140200.58216484703,55821.583492329824
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
114,239719.2073645304,10000,155499.83429761752,44415.56928820661
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
115,334543.9068659191,10000,146265.33715217304,51440.63765078435
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
116,405023.7590061034,10000,120482.5840583705,50002.731918186226
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
117,462266.57790372544,10000,99873.50354850442,42630.68465088236
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
118,491311.5843540819,10000,67103.2054547679,38058.19900441146
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
119,478261.43997979106,10000,34685.44255907581,47735.5869333666
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
120,460853.4845375805,10000,35428.0406916478,52835.99613385835
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
121,447477.07562608947,10000,27778.79061866629,41155.19953015733
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
122,425775.7963044054,10000,24716.698812501058,46417.97813418515
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
123,397756.65731052234,10000,21584.43069008955,49603.56968397255
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
124,371476.11114546744,10000,28015.17246997135,54295.71863502626
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
125,346436.63457514904,10000,25797.351335404303,50836.827905722705
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
126,315353.5536172442,10000,18135.48159744359,49218.562555348464
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
127,284851.8599764008,10000,15233.895834517622,45735.58947536099
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
128,262258.64320418943,10000,23908.605984027356,46501.82275623874
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
129,236691.1983777836,10000,24089.79014593519,49657.23497234101
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
130,214258.44144909788,10000,31286.026521881784,53718.78345056751
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
131,188537.13728156275,10000,32092.833254463963,57814.1374219991
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
132,171529.38162216422,10000,25929.653995186003,42937.409654584524
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
133,150299.90808878906,10000,29738.423278115337,50967.89681149049
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
134,139788.14216510957,10000,33000.392786739285,43512.15871041876
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
135,115628.07583588472,10000,31284.25367271908,55444.32000194395
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
136,92676.01238173751,10000,30757.06134794366,53709.12480209088
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
137,72812.10411850183,10000,25782.240549953236,45646.14881318891
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
138,70306.82736625921,10000,39142.951937646816,41648.228689889416
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
139,55591.224195220515,10000,41088.7859329764,55804.3891040151
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
140,44503.14190708463,10000,37201.48083043161,48289.5631185675
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
141,32343.246306374574,10000,37107.75159423476,49267.647194944824
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
142,14533.748305404566,10000,28674.971419813734,46484.46942078374
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
143,10000.0,10000,21848.943640567315,26382.691945971877
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
144,10000.0,10000,23389.146508243066,23389.146508243066
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
145,10000.0,10000,30087.04775341364,30087.047753413644
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
146,10000.0,10000,21282.21746384817,21282.21746384817
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
147,10000.0,10000,11910.727098570009,11910.727098570009
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
148,10000.0,10000,13130.743410054663,13130.743410054663
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
149,10000.0,10000,11792.048946708352,11792.048946708353
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
150,10000.0,10000,22891.567091392484,22891.567091392484
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
151,10000.0,10000,27322.10003075099,27322.10003075099
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
152,10000.0,10000,22773.62830694135,22773.628306941348
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
153,10000.0,10000,28331.417921117918,28331.417921117914
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
154,10000.0,10000,23517.96047966576,23517.96047966576
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
155,10000.0,10000,33168.68931387197,33168.68931387197
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
156,10000.0,10000,36037.682869139964,36037.682869139964
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
157,10000.0,10000,24178.758408444013,24178.758408444017
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
158,10000.0,10000,23482.340710121774,23482.340710121774
Time,Level,Predicted Level,Actual Inflow,Actual Outflow
